name,type,acronym,fullName,role,isApplicant
US Fish & Wildlife Service,Federal,,,NEPA Lead Federal Agency,False
US Environmental Protection Agency,Federal,EPA,US Environmental Protection Agency,Regulatory Body,False
US Army Corps of Engineers,Federal,,US Army Corps of Engineers,Regulatory Body,False
Environmental Management and Planning Solutions Inc,Private,,Environmental Management and Planning Solutions Inc,Consultant,False
